"LEAGUE","NAME","PLAYER ID","POS","SEASON","DY+/-","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","SH%","SHOTS/GP","TG","TP","TP/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"QMJHL","Conor Garland","35069/conor-garland","F","2016","DY+2","62","1.0645","0.5000","1.5645","25","41","18","66","13","18","12","31","238","10.50","83","15.66","341","11.44","5.50","39","128","2.0645","68.04","39.18","","","","","","","1996-03-11","20.51","20.81","","","R","2014","ARI (2015) - #123","ARI","ARI","pick224.com/images/35069_conor-garland2016.png"
"WHL","Brayden Point","35086/brayden-point","F","2016","DY+2","48","1.0833","0.4583","1.5416","28","24","9","52","7","15","5","22","","","","","","","0.00","35","88","1.8333","70.27","47.30","","","","","","","1996-03-13","20.51","20.80","","","R","2014","TBL (2014) - #79","TBL","TBL",""
"OHL","Mitchell Marner","37534/mitchell-marner","F","2016","DY+1","57","0.8596","0.6140","1.4736","22","27","15","49","12","23","9","35","128","17.19","87","13.79","227","17.18","3.98","39","115","2.0175","58.33","40.48","","","","","","","1997-05-05","19.36","19.66","","","R","2015","TOR (2015) - #4","TOR","TOR","pick224.com/images/37534_mitchell-marner2016.png"
"WHL","Jayce Hawryluk","34510/jayce-hawryluk","F","2016","DY+2","58","1.0862","0.3793","1.4655","33","30","13","63","10","12","3","22","","","","","","","0.00","47","106","1.8276","74.12","50.59","","","","","","","1996-01-01","20.71","21.00","","","R","2014","FLA (2014) - #32","FLA","OTT",""
"OHL","Dylan Strome","37099/dylan-strome","F","2016","DY+1","56","0.9286","0.5000","1.4286","27","25","16","52","9","19","12","28","171","15.79","54","16.67","229","16.16","4.09","37","111","1.9821","65.00","45.00","","","","","","","1997-03-07","19.52","19.82","","","L","2015","ARI (2015) - #3","ARI","CHI","pick224.com/images/37099_dylan-strome2016.png"
"OHL","Kevin Labanc","34441/kevin-labanc","F","2016","DY+2","65","1.0923","0.2615","1.3538","28","43","13","71","3","14","13","17","181","15.47","51","5.88","253","15.42","3.89","39","127","1.9538","80.68","35.23","","","","","","","1995-12-12","20.76","21.05","","","R","2014","SJS (2014) - #171","SJS","SJS","pick224.com/images/34441_kevin-labanc2016.png"
"QMJHL","Timo Meier","36320/timo-meier","F","2016","DY+1","52","0.9615","0.3654","1.3269","22","28","10","50","12","7","8","19","207","10.63","83","14.46","306","11.11","5.88","34","87","1.6731","72.46","49.28","","","","","","","1996-10-08","19.94","20.23","","","L","2015","SJS (2015) - #9","SJS","SJS","pick224.com/images/36320_timo-meier2016.png"
"OHL","Christian Dvorak","34803/christian-dvorak","F","2016","DY+2","59","0.8136","0.5085","1.3221","26","22","11","48","22","8","24","30","130","20.00","53","41.51","192","27.08","3.25","52","121","2.0508","61.54","61.54","","","","","","","1996-02-02","20.62","20.91","","","L","2014","ARI (2014) - #58","ARI","ARI","pick224.com/images/34803_christian-dvorak2016.png"
"OHL","Andrew Mangiapane","35257/andrew-mangiapane","F","2016","DY+2","59","0.9492","0.3220","1.2712","33","23","12","56","10","9","5","19","155","21.29","36","27.78","213","23.94","3.61","51","106","1.7966","74.67","57.33","","","","","","","1996-04-04","20.45","20.74","","","L","2014","CGY (2015) - #166","CGY","CGY","pick224.com/images/35257_andrew-mangiapane2016.png"
"OHL","Alex DeBrincat","38578/alex-debrincat","F","2016","DY","60","0.8833","0.3833","1.2666","36","17","11","53","13","10","11","23","202","17.82","63","20.63","269","18.96","4.48","51","101","1.6833","69.74","64.47","","","","","","","1997-12-18","18.74","19.04","","","R","2016","CHI (2016) - #39","CHI","CHI","pick224.com/images/38578_alex-debrincat2016.png"
