"LEAGUE","NAME","PLAYER ID","POS","SEASON","DY+/-","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","SH%","SHOTS/GP","TG","TP","TP/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"QMJHL","Daniel Sprong","37165/daniel-sprong","F","2017","DY+2","31","1.2258","0.3871","1.6129","26","12","6","38","6","6","3","12","112","23.21","25","24.00","140","22.86","4.52","32","59","1.9032","76.00","64.00","","","","","","","1997-03-17","20.49","20.79","CHA","6'00","R","2015","PIT (2015) - #46","PIT","WSH","pick224.com/images/37165_daniel-sprong2017.png"
"OHL","Dylan Strome","37099/dylan-strome","F","2017","DY+2","35","1.0286","0.5714","1.6000","16","20","11","36","6","14","7","20","101","15.84","39","15.38","143","15.38","4.09","22","75","2.1429","64.29","39.29","","","","","","","1997-03-07","20.52","20.82","ER","6'03","L","2015","ARI (2015) - #3","ARI","CHI","pick224.com/images/37099_dylan-strome2017.png"
"OHL","Alex DeBrincat","38578/alex-debrincat","F","2017","DY+1","63","1.1429","0.4127","1.5556","49","23","12","72","14","12","14","26","235","20.85","64","21.88","308","21.10","4.89","65","127","2.0159","73.47","64.29","","","","","","","1997-12-18","19.74","20.04","ER","5'07","R","2016","CHI (2016) - #39","CHI","CHI","pick224.com/images/38578_alex-debrincat2017.png"
"WHL","Adam Brooks","35495/adam-brooks","F","2017","DY+3","66","0.9848","0.4091","1.3939","29","36","9","65","11","16","13","27","","","","","","","0.00","","","","70.65","43.48","","","","","","","1996-05-06","21.36","21.65","REG","5'10","L","2014","TOR (2016) - #92","TOR","TOR",""
"QMJHL","Vitali Abramov","39602/vitali-abramov","F","2017","DY+1","66","1.0152","0.3030","1.3182","39","28","5","67","6","14","11","20","193","20.21","33","18.18","245","18.78","3.71","46","104","1.5758","77.01","51.72","","","","","","","1998-05-08","19.35","19.65","GAT","5'09","L","2016","CBJ (2016) - #65","CBJ","OTT","pick224.com/images/39602_vitali-abramov2017.png"
"OHL","Taylor Raddysh","38994/taylor-raddysh","F","2017","DY+1","58","1.0000","0.3103","1.3103","27","31","20","58","13","5","10","18","160","16.88","54","24.07","218","19.27","3.76","42","109","1.8793","76.32","52.63","","","","","","","1998-02-18","19.58","19.87","ER","6'02","R","2016","TBL (2016) - #58","TBL","TBL","pick224.com/images/38994_taylor-raddysh2017.png"
"QMJHL","Nicolas Roy (97)","36849/nicolas-roy","F","2017","DY+2","53","0.7547","0.5472","1.3019","20","20","7","40","16","13","4","29","140","14.29","60","26.67","208","17.31","3.92","36","80","1.5094","57.97","52.17","","","","","","","1997-05-02","20.37","20.66","CHI","6'04","R","2015","CAR (2015) - #96","CAR","VGK","pick224.com/images/36849_nicolas-roy2017.png"
"OHL","Petrus Palmu","37952/petrus-palmu","F","2017","DY+2","62","0.6935","0.5323","1.2258","22","21","8","43","16","17","11","33","174","12.64","85","18.82","278","14.39","4.48","40","98","1.5806","56.58","50.00","","","","","","","1997-07-16","20.16","20.46","OS","5'07","L","2015","VAN (2017) - #181","VAN","VAN","pick224.com/images/37952_petrus-palmu2017.png"
"WHL","Sam Steel","38874/sam-steel","F","2017","DY+1","66","0.8030","0.3939","1.1970","26","27","20","53","14","12","12","26","","","","","","","0.00","","","","67.09","50.63","","","","","","","1998-02-03","19.62","19.91","REG","6'00","L","2016","ANA (2016) - #30","ANA","ANA",""
"QMJHL","Filip Chlapik","37714/filip-chlapik","F","2017","DY+2","57","0.7719","0.4211","1.1930","19","25","13","44","14","10","9","24","189","10.05","61","22.95","263","12.93","4.61","34","91","1.5965","64.71","48.53","","","","","","","1997-06-03","20.28","20.58","CHA","6'01","L","2015","OTT (2015) - #48","OTT","OTT","pick224.com/images/37714_filip-chlapik2017.png"
