"LEAGUE","NAME","PLAYER ID","POS","SEASON","DY+/-","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","SH%","SHOTS/GP","TG","TP","TP/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"QMJHL","Maxime Comtois","40703/max-comtois","F","2019","DY+2","25","0.9600","0.5600","1.5200","20","4","7","24","10","4","1","14","82","24.39","21","47.62","109","28.44","4.36","31","48","1.9200","63.16","78.95","37","7","84.09","19.03","20.70","4.6387","1999-01-08","20.69","20.98","DRU","6'02","L","2017","ANA (2017) - #50","ANA","ANA","pick224.com/images/40703_max-comtois2019.png"
"OHL","Justin Brazeau","38865/justin-brazeau","F","2019","DY+3","68","1.0441","0.3529","1.3970","47","24","7","71","14","10","11","24","242","19.42","66","21.21","314","19.43","4.62","61","113","1.6618","74.74","64.21","96","80","54.55","18.05","22.71","3.6917","1998-02-02","21.62","21.91","NB","6'06","R","2016","","","","pick224.com/images/38865_justin-brazeau2019.png"
"OHL","Jason Robertson","41986/jason-robertson","F","2019","DY+2","62","0.8387","0.5484","1.3871","28","24","9","52","17","17","19","34","195","14.36","91","18.68","296","16.22","4.77","48","117","1.8871","60.47","52.33","80","36","68.97","18.97","21.83","3.9446","1999-07-22","20.15","20.44","KGN/NIAG","6'02","L","2017","DAL (2017) - #39","DAL","DAL","pick224.com/images/41986_jason-robertson2019.png"
"WHL","Tristan Langan","40416/tristan-langan","F","2019","DY+2","67","0.8955","0.4478","1.3433","34","26","18","60","18","12","2","30","","","","","","","0.00","53","113","1.6866","66.67","57.78","96","56","63.16","23.16","22.71","3.6668","1998-10-15","20.92","21.21","MJ","6'00","L","2017","","","",""
"OHL","Morgan Frost","41599/morgan-frost","F","2019","DY+2","58","0.9310","0.3966","1.3276","23","31","11","54","10","13","10","23","147","15.65","71","14.08","243","15.23","4.19","37","109","1.8793","70.13","42.86","78","54","59.09","4.82","22.23","4.0491","1999-05-14","20.34","20.63","SSM","6'00","L","2017","PHI (2017) - #27","PHI","PHI","pick224.com/images/41599_morgan-frost2019.png"
"WHL","Cody Glass","41297/cody-glass","F","2019","DY+2","38","0.7895","0.5263","1.3158","9","21","4","30","4","16","10","20","","","","","","","0.00","15","69","1.8158","60.00","26.00","40","27","59.70","3.22","19.57","4.4367","1999-04-01","20.46","20.75","POR","6'02","R","2017","VGK (2017) - #6","VGK","VGK",""
"OHL","Tye Felhaber","40109/tye-felhaber","F","2019","DY+3","68","0.9412","0.3382","1.2794","45","19","10","64","12","11","10","23","233","19.31","57","21.05","300","19.67","4.41","59","109","1.6029","73.56","65.52","96","35","73.28","9.97","20.79","3.7777","1998-08-05","21.11","21.41","OTT","6'00","L","2016","","","DAL","pick224.com/images/40109_tye-felhaber2019.png"
"QMJHL","Alexis Lafreniere","45219/alexis-lafreniere","F","2019","DY-1","61","0.8689","0.4098","1.2787","27","26","16","53","10","15","10","25","168","16.07","34","29.41","208","17.79","3.41","37","105","1.7213","67.95","47.44","85","32","72.65","17.59","20.58","3.7285","2001-10-11","17.93","18.22","RIM","6'01","L","2020","","","","pick224.com/images/45219_alexis-lafreniere2019.png"
"QMJHL","Joe Veleno","42658/joe-veleno","F","2019","DY+1","59","0.8644","0.3898","1.2542","29","22","17","51","6","17","5","23","177","16.38","51","11.76","246","17.07","4.17","42","104","1.7627","68.92","47.30","88","32","73.33","8.39","20.33","4.1013","2000-01-13","19.67","19.97","DRU","6'01","L","2018","DET (2018) - #30","DET","DET","pick224.com/images/42658_joe-veleno2019.png"
"OHL","Ben Jones","41062/ben-jones","F","2019","DY+2","68","0.7353","0.4853","1.2206","22","28","9","50","17","16","4","33","153","14.38","65","26.15","227","18.06","3.34","41","102","1.5000","60.24","46.99","73","38","65.77","3.86","19.97","3.8877","1999-02-26","20.55","20.85","NIAG","6'00","L","2017","VGK (2017) - #189","VGK","VGK","pick224.com/images/41062_ben-jones2019.png"
"OHL","Kevin Hancock","39083/kevin-hancock","F","2019","DY+3","70","0.7286","0.4857","1.2143","30","21","12","51","19","15","6","34","221","13.57","94","20.21","329","15.81","4.70","52","107","1.5286","60.00","57.65","88","70","55.70","9.58","22.13","3.4467","1998-03-02","21.54","21.83","LDN/OS","5'11","L","2016","","","","pick224.com/images/39083_kevin-hancock2019.png"
"WHL","Brett Leason","41515/brett-leason","F","2019","DY+2","55","0.9273","0.2545","1.1818","25","26","7","51","5","9","7","14","","","","","","","0.00","36","89","1.6182","78.46","46.15","70","23","75.27","8.41","18.34","4.4600","1999-04-30","20.38","20.67","PA","6'04","R","2017","WSH (2019) - #56","WSH","WSH",""
"OHL","Akil Thomas","42591/akil-thomas","F","2019","DY+1","63","0.8095","0.3651","1.1746","25","26","10","51","11","12","16","23","124","20.16","71","15.49","204","18.63","3.24","38","102","1.6190","68.92","48.65","90","42","68.18","7.89","20.91","3.4622","2000-01-02","19.70","20.00","NIAG","6'00","R","2018","LAK (2018) - #51","LAK","LAK","pick224.com/images/42591_akil-thomas2019.png"
"WHL","Trey Fix-Wolansky","41674/trey-fix-wolansky","F","2019","DY+2","65","0.8154","0.3538","1.1692","27","26","9","53","9","14","12","23","","","","","","","0.00","37","102","1.5692","69.74","47.37","73","39","65.18","10.10","18.85","3.9666","1999-05-26","20.30","20.60","EDM","5'07","R","2017","CBJ (2018) - #204","CBJ","CBJ",""
"OHL","Arthur Kaliyev","44962/arthur-kaliyev","F","2019","DY","67","0.7313","0.4328","1.1641","30","19","8","49","20","9","15","29","185","16.22","125","16.00","320","15.94","4.78","51","102","1.5224","62.82","64.10","76","77","49.67","10.65","22.56","3.1365","2001-06-26","18.22","18.51","HAM","6'02","L","2019","LAK (2019) - #33","LAK","LAK","pick224.com/images/44962_arthur-kaliyev2019.png"
"WHL","Justin Almeida","40912/justin-almeida","F","2019","DY+2","64","0.6563","0.5000","1.1563","14","28","18","42","15","17","13","32","","","","","","","0.00","33","111","1.7344","56.76","39.19","83","61","57.64","17.20","23.29","3.2197","1999-02-06","20.61","20.90","MJ","5'11","L","2017","PIT (2018) - #129","PIT","PIT",""
"WHL","Stelio Mattheos","41789/stelio-mattheos","F","2019","DY+2","65","0.6923","0.4615","1.1538","26","19","16","45","18","12","4","30","","","","","","","0.00","44","96","1.4769","60.00","58.67","75","55","57.69","12.14","19.96","3.5142","1999-06-14","20.25","20.55","BDN","6'01","R","2017","CAR (2017) - #73","CAR","CAR",""
